SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
19,0,0,10,protocol,7.5,300,413,1.37667,0,0,0,0.928571,0.85,0.309091,0.17,0.10119,0.0653846,0.0653846,0.0653846,0.0653846,0.443887
20,0,0,10,protocol,7.5,320,414,1.29375,0,0,0,0.95,0.925,0.37,0.172897,0.108824,0.0690299,0.0690299,0.0690299,0.0690299,0.435657
21,0,0,10,protocol,7.5,330,462,1.4,0,0,0,1,0.925,0.37,0.155462,0.108824,0.0685185,0.0685185,0.0685185,0.0685185,0.42832
22,0,0,10,protocol,7.5,350,485,1.38571,0,0,0,0.95,0.654762,0.458333,0.205224,0.144737,0.0975177,0.0975177,0.0975177,0.0975177,0.421392
23,0,0,10,protocol,7.5,370,529,1.42973,0,0,0,1,0.6,0.5,0.215827,0.139535,0.0983607,0.0983607,0.0983607,0.0983607,0.415771
24,0,0,10,protocol,7.5,380,533,1.40263,0,0,0,1,0.6,0.447761,0.20339,0.123967,0.0909091,0.0909091,0.0909091,0.0909091,0.412275
25,0,0,10,protocol,7.5,400,545,1.3625,0,0,0,0.888889,0.583333,0.388889,0.187166,0.120275,0.0890585,0.0890585,0.0890585,0.0890585,0.407753
26,0,0,10,protocol,7.5,420,601,1.43095,0,0,0,0.980769,0.8,0.533333,0.252632,0.161074,0.117503,0.117503,0.117503,0.117503,0.402168
27,0,0,10,protocol,7.5,440,601,1.36591,0,0,0,0.984848,0.910959,0.532,0.34456,0.218033,0.150794,0.150794,0.150794,0.150794,0.396926
28,0,0,10,protocol,7.5,450,583,1.29556,0,0,0,0.946429,0.8125,0.5,0.300926,0.204403,0.141304,0.141304,0.141304,0.141304,0.39312
29,0,0,10,protocol,7.5,470,603,1.28298,0,0,0,1,0.827778,0.55597,0.298,0.20411,0.143822,0.143822,0.143822,0.143822,0.388489
30,0,0,10,protocol,7.5,490,602,1.22857,0,0,0,1,0.763636,0.491228,0.292683,0.215385,0.144082,0.144082,0.144082,0.144082,0.384084
31,0,0,10,protocol,7.5,510,571,1.11961,0,0,0,0.94898,0.651786,0.334862,0.221884,0.167048,0.108793,0.108793,0.108793,0.108793,0.379893
32,0,0,10,protocol,7.5,520,549,1.05577,0,0,0,0.975,0.633333,0.298039,0.209366,0.163793,0.109827,0.109827,0.109827,0.109827,0.376031
33,0,0,10,protocol,7.5,540,520,0.962963,6,6,1,0.941667,0.426415,0.216475,0.148294,0.11255,0.0803698,0.0803698,0.0803698,0.0803698,0.372378
34,0,0,10,protocol,7.5,560,576,1.02857,20,20,1,0.964286,0.414861,0.249071,0.161058,0.117958,0.0851875,0.0851875,0.0851875,0.0851875,0.369911
35,0,0,10,protocol,7.5,570,635,1.11404,36,36,1,0.935185,0.469136,0.285714,0.182692,0.128814,0.0938272,0.0938272,0.0938272,0.0938272,0.367443
36,0,0,10,protocol,7.5,590,677,1.14746,58,58,1,0.971154,0.502959,0.320755,0.206813,0.142737,0.103912,0.103912,0.103912,0.103912,0.364336
37,0,0,10,protocol,7.5,610,675,1.10656,60,59,0.983333,0.976923,0.607143,0.390805,0.234483,0.166939,0.118056,0.118056,0.118056,0.118056,0.361242
38,0,0,10,protocol,7.5,630,766,1.21587,98,97,0.989796,0.943925,0.705742,0.445619,0.28122,0.202332,0.144963,0.144963,0.144963,0.144963,0.358558
39,0,0,10,protocol,7.5,650,784,1.20615,76,75,0.986842,0.923664,0.681818,0.462963,0.279851,0.191816,0.136737,0.136737,0.136737,0.136737,0.355726
40,0,0,10,protocol,7.5,660,858,1.3,44,43,0.977273,0.949324,0.74026,0.53271,0.30427,0.212951,0.148825,0.148825,0.148825,0.148825,0.353056
41,0,0,10,protocol,7.5,680,953,1.40147,40,40,1,0.987654,0.734694,0.542169,0.311958,0.218447,0.145631,0.145631,0.145631,0.145631,0.350488
42,0,0,10,protocol,7.5,700,979,1.39857,38,38,1,0.952703,0.664773,0.497167,0.287705,0.199432,0.130921,0.130921,0.130921,0.130921,0.348018
43,0,0,10,protocol,7.5,710,951,1.33944,40,40,1,0.964029,0.640221,0.44832,0.295823,0.195603,0.122788,0.122788,0.122788,0.122788,0.345699
44,0,0,10,protocol,7.5,730,909,1.24521,59,57,0.966102,0.932143,0.612546,0.414482,0.268174,0.18465,0.115639,0.115639,0.115639,0.115639,0.343684
45,3.584,7,10,protocol,7.5,750,928,1.23733,100,92,0.92,0.906137,0.58557,0.370488,0.249286,0.172091,0.115334,0.115334,0.115334,0.115334,0.342952
46,2.048,4,10,protocol,7.5,760,940,1.23684,82,82,1,0.982143,0.57837,0.374239,0.258042,0.172108,0.117741,0.117741,0.117741,0.117741,0.341442
47,0.512,1,10,protocol,7.5,770,962,1.24935,82,80,0.97561,0.933121,0.619403,0.410891,0.276667,0.187528,0.128483,0.128483,0.128483,0.128483,0.339773
48,0,0,10,protocol,7.5,800,986,1.2325,66,64,0.969697,0.954545,0.678363,0.416517,0.280024,0.197868,0.136631,0.136631,0.136631,0.136631,0.337777
49,0,0,10,protocol,7.5,820,1008,1.22927,72,72,1,0.97561,0.670588,0.418349,0.264501,0.18843,0.134712,0.134712,0.134712,0.134712,0.335906
50,0,0,10,protocol,7.5,840,1052,1.25238,80,79,0.9875,0.988372,0.694134,0.416946,0.267204,0.193838,0.142244,0.142244,0.142244,0.142244,0.334038
51,0,0,10,protocol,7.5,850,1110,1.30588,88,88,1,0.966867,0.701613,0.433555,0.284934,0.197428,0.146712,0.146712,0.146712,0.146712,0.332288
52,0,0,10,protocol,7.5,870,1073,1.23333,106,102,0.962264,0.935484,0.677003,0.404321,0.257115,0.17805,0.137029,0.137029,0.137029,0.137029,0.330574
53,0,0,10,protocol,7.5,890,1104,1.24045,138,138,1,0.962766,0.675192,0.387097,0.246039,0.168046,0.130338,0.130338,0.130338,0.130338,0.328931
54,0,0,10,protocol,7.5,910,1072,1.17802,154,146,0.948052,0.947368,0.64532,0.375358,0.244403,0.164987,0.127556,0.127556,0.127556,0.127556,0.327332
55,0,0,10,protocol,7.5,920,1051,1.14239,146,145,0.993151,0.968912,0.630326,0.365022,0.22968,0.150419,0.119421,0.119421,0.119421,0.119421,0.326124
56,0,0,10,protocol,7.5,940,1053,1.12021,124,123,0.991935,0.957143,0.59838,0.360028,0.224978,0.146376,0.11734,0.11734,0.11734,0.11734,0.324836
57,0,0,10,protocol,7.5,950,1040,1.09474,129,128,0.992248,0.9642,0.602064,0.353297,0.210759,0.143208,0.111678,0.111678,0.111678,0.111678,0.323504
58,0,0,10,protocol,7.5,970,1099,1.13299,141,137,0.971631,0.95671,0.647727,0.393103,0.229284,0.149646,0.118998,0.118998,0.118998,0.118998,0.322164
59,0,0,10,protocol,7.5,980,1128,1.15102,122,121,0.991803,0.947727,0.702202,0.429178,0.236904,0.156589,0.125492,0.125492,0.125492,0.125492,0.320893
60,0,0,10,protocol,7.5,1000,1122,1.122,154,153,0.993506,0.965675,0.655435,0.417012,0.216517,0.149851,0.119501,0.119501,0.119501,0.119501,0.319614
