SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
33,0,0,10,protocol,7.5,540,0,0,6,0,0,0,0,0,0,0,0,0,0,0,89830.1
34,0,0,10,protocol,7.5,560,0,0,20,0,0,0,0,0,0,0,0,0,0,0,87002.4
35,0,0,10,protocol,7.5,570,0,0,36,0,0,0,0,0,0,0,0,0,0,0,84974.9
36,0,0,10,protocol,7.5,590,0,0,58,0,0,0,0,0,0,0,0,0,0,0,82332.4
37,0,0,10,protocol,7.5,610,0,0,60,0,0,0,0,0,0,0,0,0,0,0,79271.1
38,0,0,10,protocol,7.5,630,0,0,98,0,0,0,0,0,0,0,0,0,0,0,74845.9
39,0,0,10,protocol,7.5,650,0,0,76,0,0,0,0,0,0,0,0,0,0,0,72175.7
40,0,0,10,protocol,7.5,660,0,0,44,0,0,0,0,0,0,0,0,0,0,0,70287.2
41,0,0,10,protocol,7.5,680,0,0,40,0,0,0,0,0,0,0,0,0,0,0,68780.3
42,0,0,10,protocol,7.5,700,0,0,38,0,0,0,0,0,0,0,0,0,0,0,65937.8
43,0,0,10,protocol,7.5,710,0,0,40,0,0,0,0,0,0,0,0,0,0,0,64945.8
44,0,0,10,protocol,7.5,730,0,0,59,0,0,0,0,0,0,0,0,0,0,0,63438.4
45,0,0,10,protocol,7.5,750,0,0,100,0,0,0,0,0,0,0,0,0,0,0,61703.2
46,0,0,10,protocol,7.5,760,0,0,82,0,0,0,0,0,0,0,0,0,0,0,59596.6
47,0,0,10,protocol,7.5,770,0,0,82,0,0,0,0,0,0,0,0,0,0,0,56729.9
48,0,0,10,protocol,7.5,800,0,0,66,0,0,0,0,0,0,0,0,0,0,0,55306.4
49,0,0,10,protocol,7.5,820,0,0,72,0,0,0,0,0,0,0,0,0,0,0,54437.1
50,0,0,10,protocol,7.5,840,0,0,80,0,0,0,0,0,0,0,0,0,0,0,52513.6
51,0,0,10,protocol,7.5,850,0,0,88,0,0,0,0,0,0,0,0,0,0,0,51599.6
52,0,0,10,protocol,7.5,870,0,0,106,0,0,0,0,0,0,0,0,0,0,0,49823.9
53,0,0,10,protocol,7.5,890,0,0,138,0,0,0,0,0,0,0,0,0,0,0,48895.2
54,0,0,10,protocol,7.5,910,0,0,154,0,0,0,0,0,0,0,0,0,0,0,47876
55,0,0,10,protocol,7.5,920,0,0,146,0,0,0,0,0,0,0,0,0,0,0,47058.9
56,0,0,10,protocol,7.5,940,0,0,124,0,0,0,0,0,0,0,0,0,0,0,45883.1
57,0,0,10,protocol,7.5,950,0,0,129,0,0,0,0,0,0,0,0,0,0,0,44187.2
58,0,0,10,protocol,7.5,970,0,0,141,0,0,0,0,0,0,0,0,0,0,0,43006.7
59,0,0,10,protocol,7.5,980,0,0,122,0,0,0,0,0,0,0,0,0,0,0,41881.1
60,0,0,10,protocol,7.5,1000,0,0,154,0,0,0,0,0,0,0,0,0,0,0,40625.6
